sgpa,attendance_rate,quiz_avg,assignment_rate,login_frequency,consecutive_absences,mood_score,late_submission_rate,help_seeking_ratio,peer_interaction_score,material_access_rate,attendance_trend,quiz_score_trend,login_frequency_trend,submission_time_ratio,sgpa_delta,risk_velocity,weekly_checkin_streak,attendance_quiz_combined,sgpa_absence_combined,submission_mood_combined,department,faculty,level,semester,status
1.99,0.654,0.642,0.823,0.73,1,0.469,0.196,0.12,0.572,0.511,0.132,-0.274,-0.045,0.813,0.13,0.0452,0.623,0.334,0.025,0.679,Architecture,FES,300,2,GS
2.99,0.677,0.706,0.818,0.698,1,0.691,0.146,0.331,0.489,0.756,0.229,0.159,0.193,0.62,0.29,-0.038,0.857,0.29,0.07,0.748,Mathematics,FNAS,400,1,GS
3.85,1.0,0.852,1.0,0.811,2,0.586,0.0,0.253,0.482,0.973,0.169,-0.02,0.113,0.971,0.02,-0.0866,0.612,1.0,0.043,0.425,Biochemistry,FNAS,100,1,GS
3.55,1.0,0.848,1.0,0.889,0,0.403,0.435,0.608,0.194,0.735,-0.052,0.131,-0.032,0.925,0.37,-0.0144,0.55,0.875,0.0,0.421,English and Communication,FAMSS,300,1,GS
2.67,1.0,0.89,0.792,0.863,0,0.259,0.301,0.346,0.535,0.766,0.226,0.274,0.082,1.0,0.53,0.0596,0.194,0.79,0.0,0.11,Public Health,FBMS,300,1,GS
3.3,0.747,0.902,0.91,0.841,1,0.731,0.226,0.369,0.58,0.374,0.183,0.079,0.39,0.941,0.7,0.0618,0.684,0.572,0.028,0.525,Estate Management,FES,300,1,GS
2.5,0.683,0.373,0.404,0.183,0,0.482,0.251,0.101,0.283,0.153,0.148,-0.068,-0.141,0.435,0.13,-0.0125,0.294,0.321,0.062,0.401,Estate Management,FES,100,2,GS
2.75,0.13,0.293,0.48,0.293,2,0.412,0.022,0.453,0.635,0.462,-0.082,0.032,-0.108,0.0,-0.22,0.031,0.428,0.197,0.126,0.4,Economics,FAMSS,100,1,GS
2.34,0.595,0.647,0.748,0.182,1,0.804,0.098,0.388,0.495,0.637,-0.04,-0.055,0.017,0.203,0.13,0.0273,0.709,0.328,0.0,0.947,Doctor of Physiotherapy,FBMS,200,1,GS
2.65,0.444,0.391,0.516,0.288,1,0.267,0.512,0.322,0.681,0.824,-0.216,0.13,0.128,0.381,-0.12,0.0291,0.3,0.191,0.0,0.268,Software Engineering,FNAS,100,2,GS
3.48,0.517,0.399,0.417,0.506,1,0.46,0.192,0.019,0.325,0.599,0.029,-0.047,-0.052,0.385,0.36,0.0098,0.406,0.089,0.064,0.21,Computer Engineering,FNAS,300,2,GS
1.19,0.428,0.698,0.591,0.587,1,0.297,0.404,0.372,0.316,0.997,-0.172,0.013,-0.101,0.42,-0.03,0.0227,0.746,0.378,0.0,0.159,Estate Management,FES,200,2,GS
2.0,0.244,0.347,0.545,0.297,1,0.296,0.316,0.174,0.143,0.389,-0.259,-0.241,0.073,0.065,0.0,0.0587,0.408,0.191,0.0,0.072,Public Health,FBMS,300,1,GS
1.68,0.548,0.596,0.448,0.369,4,0.327,0.296,0.182,0.167,0.187,0.099,-0.313,0.014,0.621,0.14,-0.1049,0.0,0.276,0.25,0.278,Mathematics,FNAS,200,2,NGS
2.48,0.635,0.292,0.559,0.797,0,0.653,0.389,0.528,0.438,0.683,-0.178,0.03,0.114,0.421,0.54,0.0165,0.35,0.188,0.0,0.509,History and International Relations,FAMSS,100,2,GS
2.62,1.0,0.376,0.993,0.79,0,0.181,0.472,0.364,0.397,0.163,-0.295,0.208,0.161,0.76,0.14,-0.0266,0.373,0.38,0.0,0.165,Biochemistry,FNAS,300,1,GS
2.76,0.832,0.634,0.805,0.575,1,0.347,0.229,0.283,0.378,0.442,-0.131,0.059,0.005,0.388,0.49,0.044,0.62,0.701,0.041,0.275,Mathematics,FNAS,200,2,GS
2.64,0.377,0.28,0.609,0.306,1,0.513,0.031,0.168,0.0,0.226,-0.113,-0.063,0.009,0.395,-0.49,0.0135,0.901,0.117,0.018,0.733,Industrial Chemistry,FNAS,300,2,NGS
2.89,0.668,0.726,0.604,0.624,1,0.619,0.319,0.533,0.381,0.608,-0.037,0.241,-0.169,0.447,0.5,-0.0187,0.563,0.575,0.099,0.434,Nursing,FBMS,300,2,GS
1.21,0.452,0.952,0.403,0.309,2,0.968,0.174,0.488,0.185,0.323,0.157,-0.06,0.402,0.63,0.49,0.004,0.006,0.478,0.33,0.832,Cybersecurity,FNAS,300,1,GS
1.66,0.811,0.999,0.984,0.927,0,0.523,0.508,0.0,0.251,0.722,-0.049,0.071,0.133,0.752,0.26,0.0299,0.512,0.805,0.0,0.389,Business Administration,FAMSS,200,1,GS
2.06,0.67,0.935,0.771,0.697,0,0.606,0.082,0.344,0.078,0.602,-0.065,0.225,0.055,0.868,0.15,-0.067,0.496,0.581,0.043,0.579,Information Technology,FNAS,100,2,GS
2.33,0.662,0.418,0.581,0.444,0,0.719,0.056,0.366,0.438,0.0,0.001,-0.058,0.029,0.708,0.26,-0.0106,0.572,0.258,0.005,0.813,Industrial Chemistry,FNAS,400,1,GS
3.63,0.957,0.672,0.699,0.838,0,0.502,0.289,0.901,0.552,0.57,0.153,0.005,-0.032,0.551,0.65,0.0086,0.521,0.544,0.0,0.417,Estate Management,FES,100,1,GS
2.04,0.701,0.551,0.788,0.691,1,0.517,0.36,0.436,0.348,0.523,-0.036,0.081,-0.063,0.611,0.19,-0.0555,0.766,0.421,0.089,0.468,Physics and Electronics,FNAS,200,1,GS
2.7,0.363,0.457,0.352,0.711,2,0.5,0.136,0.461,0.458,0.42,0.164,0.15,0.086,0.38,0.56,-0.0004,0.415,0.0,0.125,0.195,Business Administration,FAMSS,300,1,GS
1.94,0.423,0.348,0.478,0.282,7,0.688,0.34,0.0,0.292,0.506,0.022,-0.007,-0.2,0.209,-0.3,0.09,0.335,0.327,0.414,0.585,Public Health,FBMS,100,2,NGS
1.71,0.393,0.422,0.349,0.41,1,0.0,0.373,0.264,0.295,0.406,0.015,-0.244,0.17,0.379,-0.37,-0.0429,0.0,0.189,0.089,0.029,Mathematics,FNAS,300,1,NGS
2.34,0.622,0.469,0.769,0.582,1,0.528,0.141,0.066,0.29,0.289,-0.254,0.137,-0.142,0.653,0.24,-0.0027,0.12,0.41,0.039,0.437,Computer Engineering,FNAS,100,1,GS
1.35,0.175,0.0,0.31,0.199,2,0.038,0.602,0.331,0.062,0.161,-0.234,0.023,-0.206,0.0,-0.12,0.0123,0.009,0.0,0.116,0.087,History and International Relations,FAMSS,100,2,NGS
3.07,0.605,0.406,0.751,0.533,1,0.851,0.166,1.0,0.49,0.747,-0.066,0.191,-0.064,0.349,0.38,0.0356,0.47,0.309,0.0,0.471,Quantity Surveying,FES,200,1,GS
2.93,0.488,0.723,0.547,0.464,1,0.349,0.638,0.406,0.333,0.266,-0.229,-0.003,0.152,0.716,0.02,0.0179,0.0,0.243,0.098,0.045,Physics and Electronics,FNAS,200,2,GS
1.9,0.687,0.641,0.727,0.392,0,0.429,0.374,0.436,0.337,0.749,-0.02,0.03,-0.062,0.632,0.64,-0.0172,0.226,0.499,0.0,0.214,Computer Engineering,FNAS,100,2,GS
2.94,0.302,0.166,0.508,0.587,1,0.772,0.303,0.425,0.544,0.471,-0.095,-0.35,-0.239,0.248,0.31,0.0264,0.635,0.199,0.065,0.496,Mathematics,FNAS,300,2,GS
2.35,0.46,0.471,0.242,0.394,0,0.448,0.315,0.443,0.603,0.3,-0.114,-0.011,-0.161,0.426,-0.02,-0.0395,0.308,0.224,0.074,0.213,Mathematics,FNAS,300,1,GS
2.08,0.703,0.866,0.758,0.745,0,0.561,0.206,0.54,0.544,0.203,0.083,0.161,-0.149,0.85,-0.09,-0.0685,0.527,0.536,0.118,0.42,Business Administration,FAMSS,200,2,GS
2.68,0.78,0.509,0.927,0.952,1,0.481,0.129,0.278,0.132,0.587,-0.221,0.032,0.254,0.732,-0.15,0.0234,0.208,0.392,0.058,0.221,Computer Science,FNAS,100,1,GS
2.67,1.0,0.859,0.879,0.743,0,0.805,0.03,0.688,0.325,0.503,-0.128,0.161,0.12,0.758,0.49,-0.0404,0.354,0.728,0.0,0.751,Criminology and Security Studies,FAMSS,300,2,GS
2.29,0.367,0.128,0.132,0.147,2,0.421,0.618,0.702,0.527,0.285,0.285,-0.164,-0.124,0.54,-0.11,-0.0299,0.408,0.0,0.083,0.088,Quantity Surveying,FES,400,2,GS
2.91,0.369,0.27,0.485,0.288,0,0.376,0.189,0.382,0.51,0.444,0.105,0.022,0.071,0.082,-0.06,-0.096,0.977,0.0,0.021,0.453,Physics and Electronics,FNAS,100,2,GS
2.04,0.514,0.134,0.504,0.578,1,0.209,0.375,0.384,0.396,0.356,0.042,-0.07,-0.052,0.236,-0.14,0.0156,0.126,0.0,0.04,0.065,Nursing,FBMS,100,1,NGS
2.08,0.521,0.576,0.305,0.379,0,0.53,0.296,0.246,0.358,0.788,-0.079,-0.322,-0.154,0.439,-0.15,0.0398,0.246,0.264,0.019,0.543,Architecture,FES,200,1,GS
2.43,0.94,0.682,0.923,0.545,0,0.628,0.201,0.082,0.928,0.204,0.186,-0.063,0.133,0.622,0.51,-0.0098,0.352,0.644,0.0,0.729,English and Communication,FAMSS,200,2,GS
2.4,0.479,0.759,0.793,0.683,2,0.732,0.244,0.442,0.094,0.536,0.3,0.126,-0.163,0.577,0.22,-0.0735,0.568,0.342,0.196,0.517,Mathematics,FNAS,300,2,GS
2.78,0.94,1.0,0.871,0.851,0,0.152,0.03,0.547,0.561,0.1,0.006,0.153,0.136,0.985,0.69,-0.0121,0.282,0.936,0.01,0.103,History and International Relations,FAMSS,300,2,GS
2.72,0.493,0.224,0.463,0.465,2,0.465,0.126,0.358,0.35,0.201,-0.236,-0.142,-0.235,0.193,-0.17,-0.0238,0.055,0.057,0.148,0.363,Physics and Electronics,FNAS,100,1,GS
3.18,0.671,0.502,0.648,0.875,1,0.69,0.234,0.742,0.091,0.461,-0.061,0.097,0.141,0.686,-0.35,-0.0058,0.869,0.318,0.013,0.513,Physics and Electronics,FNAS,200,1,GS
3.16,1.0,0.905,0.692,0.904,0,0.86,0.411,0.309,0.632,1.0,0.137,-0.062,0.026,0.902,0.26,0.0453,0.271,0.927,0.0,0.483,Architecture,FES,200,2,GS
2.1,0.541,0.476,0.49,0.389,1,0.452,0.294,0.092,0.0,0.326,-0.203,-0.399,-0.251,0.266,0.05,0.0019,0.232,0.345,0.012,0.411,Doctor of Physiotherapy,FBMS,400,1,NGS
1.98,0.726,0.68,0.316,0.477,1,0.637,0.23,0.79,0.483,0.787,0.104,0.081,-0.066,0.543,0.39,-0.0434,0.33,0.524,0.043,0.468,Accounting,FAMSS,300,1,GS
3.21,1.0,0.954,1.0,0.854,1,0.498,0.472,0.74,0.652,0.673,0.276,0.18,0.007,1.0,0.2,0.0017,0.748,0.963,0.0,0.329,Criminology and Security Studies,FAMSS,100,2,GS
3.44,0.55,0.472,0.63,0.358,0,0.789,0.442,0.47,0.385,0.562,0.263,0.227,-0.158,0.166,0.09,-0.0365,0.915,0.047,0.0,0.366,Criminology and Security Studies,FAMSS,200,1,GS
3.49,0.739,0.732,0.726,0.611,0,0.35,0.049,0.385,0.703,0.523,0.02,0.325,0.01,0.839,0.48,0.0173,0.673,0.574,0.0,0.395,Business Administration,FAMSS,100,2,GS
2.79,0.698,0.557,0.558,0.662,0,0.631,0.388,0.335,0.139,0.479,0.147,0.074,0.006,0.614,0.28,-0.0486,0.405,0.428,0.001,0.406,Mathematics,FNAS,200,2,GS
2.88,0.589,0.247,0.545,0.547,1,0.506,0.327,0.279,0.438,0.524,0.211,0.106,-0.022,0.625,0.05,-0.0671,0.999,0.325,0.009,0.629,Industrial Chemistry,FNAS,100,2,GS
2.34,0.999,0.982,0.858,0.617,0,0.45,0.179,0.413,0.494,0.826,0.176,-0.072,-0.044,0.863,0.74,-0.0678,0.366,1.0,0.029,0.336,Mathematics,FNAS,300,1,GS
1.85,0.576,0.538,0.587,0.616,0,0.608,0.453,0.314,0.449,0.277,-0.188,-0.055,-0.008,0.396,0.41,-0.0101,0.273,0.424,0.029,0.191,Doctor of Physiotherapy,FBMS,200,2,GS
1.74,0.225,0.371,0.449,0.474,1,0.167,0.794,0.288,0.4,0.261,-0.193,-0.293,-0.109,0.301,-0.43,0.0472,0.0,0.139,0.0,0.0,Cybersecurity,FNAS,100,2,NGS
3.34,0.929,0.714,0.663,0.768,0,0.575,0.133,0.44,0.462,0.474,0.1,0.041,-0.12,0.746,-0.19,0.0509,0.365,0.509,0.0,0.319,Cybersecurity,FNAS,300,2,GS
3.49,0.806,0.789,0.972,0.529,1,0.851,0.133,0.364,0.56,0.177,-0.066,-0.172,0.065,0.888,0.3,-0.0281,0.611,0.604,0.032,0.929,Business Administration,FAMSS,200,1,GS
1.83,0.47,0.514,0.578,0.379,4,0.478,0.235,0.248,0.512,0.548,-0.115,0.292,-0.126,0.679,0.42,-0.0136,0.488,0.277,0.226,0.485,Business Administration,FAMSS,200,2,GS
3.75,0.839,0.935,0.767,0.629,0,0.55,0.185,0.195,0.175,0.407,0.142,-0.096,0.02,0.48,0.26,0.0188,0.369,0.569,0.028,0.315,Software Engineering,FNAS,200,2,GS
2.42,0.824,0.859,0.941,0.62,1,0.242,0.228,0.551,0.086,0.261,0.18,0.098,0.24,0.526,0.34,0.0749,0.449,0.773,0.139,0.226,Economics,FAMSS,300,1,GS
3.72,0.827,0.714,0.577,0.356,0,0.593,0.0,0.287,0.462,0.51,-0.175,-0.063,-0.026,0.497,0.41,-0.0216,0.385,0.56,0.01,0.68,Computer Engineering,FNAS,300,1,GS
2.08,0.41,0.44,0.566,0.495,2,0.531,0.271,0.608,0.24,0.424,-0.243,-0.001,-0.062,0.502,-0.18,0.019,0.278,0.12,0.157,0.361,Architecture,FES,300,2,GS
2.77,0.385,0.659,0.728,0.915,1,0.709,0.138,0.768,0.603,0.315,0.09,-0.022,-0.101,0.693,0.03,0.0248,0.057,0.082,0.052,0.492,Accounting,FAMSS,200,1,GS
3.31,0.441,0.434,0.482,0.593,2,0.894,0.357,0.655,1.0,0.924,0.203,-0.147,-0.108,0.316,0.4,-0.0654,0.753,0.191,0.111,0.79,Public Health,FBMS,300,1,GS
3.43,0.772,0.735,0.926,0.488,1,0.442,0.383,0.615,0.587,0.732,-0.003,-0.101,0.315,0.775,-0.21,0.0405,0.717,0.62,0.087,0.408,Doctor of Physiotherapy,FBMS,100,1,GS
2.28,0.558,0.441,0.101,0.484,1,0.531,0.03,0.544,0.0,0.59,0.166,-0.195,0.029,0.125,0.23,-0.0524,0.431,0.342,0.039,0.304,Mathematics,FNAS,300,2,GS
2.18,0.723,0.507,0.691,0.566,1,0.394,0.492,0.165,0.414,0.335,-0.339,-0.43,0.057,0.564,-0.23,-0.0291,0.229,0.349,0.075,0.319,Biochemistry,FNAS,100,1,NGS
3.03,0.783,0.707,0.783,0.901,2,0.754,0.246,0.352,0.766,0.089,-0.081,-0.022,-0.094,0.579,0.08,-0.0693,0.248,0.557,0.066,0.635,Cybersecurity,FNAS,100,2,GS
2.72,0.792,0.863,0.908,0.746,0,0.54,0.067,0.326,0.301,0.305,0.022,0.093,0.319,0.786,0.24,0.0027,0.905,0.627,0.0,0.416,Biochemistry,FNAS,200,1,GS
1.5,0.492,0.121,0.369,0.272,3,0.647,0.466,0.522,0.166,0.244,-0.02,0.043,-0.11,0.25,-0.51,-0.0196,0.36,0.015,0.164,0.136,Mathematics,FNAS,400,1,NGS
2.31,0.522,0.384,0.618,0.465,0,0.714,0.175,0.373,0.0,0.754,0.134,0.096,0.215,0.73,-0.41,0.0549,0.278,0.086,0.029,0.631,Public Health,FBMS,200,2,GS
2.2,0.716,0.773,0.664,0.275,1,0.727,0.517,0.297,0.722,0.73,0.014,0.189,0.021,0.743,-0.14,0.0367,0.842,0.593,0.118,0.375,Physics and Electronics,FNAS,100,1,GS
2.55,0.568,0.568,0.516,0.552,0,0.573,0.075,0.625,0.456,0.39,0.103,-0.137,-0.104,0.404,-0.64,-0.0599,0.914,0.437,0.0,0.492,Cybersecurity,FNAS,200,2,GS
3.56,0.335,0.357,0.269,0.138,5,0.606,0.465,0.039,0.263,1.0,-0.153,-0.012,0.063,0.05,0.16,0.0581,0.095,0.261,0.0,0.538,Estate Management,FES,100,2,GS
2.78,0.571,0.604,0.497,0.532,0,0.602,0.038,0.446,0.232,0.516,0.074,0.172,0.234,0.22,0.71,-0.1122,0.294,0.272,0.028,0.802,Economics,FAMSS,200,1,GS
3.99,0.711,0.45,0.505,0.531,0,0.599,0.242,0.824,0.428,0.593,0.299,-0.152,-0.197,0.587,0.32,-0.0397,0.608,0.444,0.0,0.53,Architecture,FES,400,1,GS
3.17,0.421,0.244,0.512,0.389,0,0.418,0.08,0.48,0.278,0.485,-0.039,-0.072,-0.245,0.368,-0.42,-0.0262,1.0,0.091,0.0,0.228,Cybersecurity,FNAS,200,1,GS
0.94,0.421,0.435,0.406,0.152,1,0.355,0.446,0.125,0.257,0.376,-0.102,-0.364,-0.181,0.481,-0.51,0.0591,0.0,0.164,0.111,0.215,Architecture,FES,500,1,NGS
3.88,0.722,0.805,0.695,1.0,1,0.808,0.123,0.598,0.745,0.139,0.227,0.081,0.188,0.841,0.02,-0.0668,0.236,0.593,0.088,0.8,Doctor of Physiotherapy,FBMS,200,2,GS
2.27,0.696,0.683,0.492,0.485,0,0.484,0.366,0.261,0.317,0.72,-0.288,-0.201,-0.272,0.524,0.03,0.0684,0.425,0.393,0.0,0.237,Computer Engineering,FNAS,200,1,NGS
2.96,0.39,0.192,0.255,0.328,3,0.518,0.169,0.433,0.377,0.78,0.246,0.222,-0.043,0.354,0.21,-0.0486,0.662,0.101,0.043,0.488,Industrial Chemistry,FNAS,100,2,GS
2.99,0.655,0.901,0.797,0.861,0,0.808,0.0,0.581,0.641,0.653,0.089,-0.075,0.5,0.611,-0.55,-0.0422,1.0,0.731,0.009,1.0,Computer Engineering,FNAS,300,1,GS
2.88,0.499,0.236,0.625,0.504,2,0.663,0.1,0.607,0.19,0.53,0.095,0.165,-0.102,0.18,0.47,-0.0154,0.504,0.0,0.069,0.51,Mathematics,FNAS,200,2,GS
3.72,0.429,0.454,0.415,0.374,0,0.703,0.152,0.528,0.414,0.276,0.06,0.162,-0.223,0.438,0.22,0.0181,0.355,0.369,0.037,0.647,Economics,FAMSS,400,1,GS
2.82,0.449,0.453,0.469,0.782,1,0.571,0.109,0.301,0.175,0.386,-0.285,-0.054,0.156,0.694,-0.03,-0.0051,0.361,0.119,0.041,0.417,Biochemistry,FNAS,400,2,GS
2.76,0.814,0.643,0.546,0.469,0,0.73,0.2,0.557,0.434,0.605,0.151,0.039,-0.01,0.709,0.64,0.0087,0.497,0.668,0.059,0.566,Mathematics,FNAS,100,2,GS
2.29,0.363,0.555,0.403,0.473,1,0.283,0.382,0.22,0.389,0.294,0.249,0.031,0.301,0.74,0.12,0.0312,0.394,0.237,0.037,0.272,Physics and Electronics,FNAS,400,2,GS
3.82,0.574,0.346,0.566,0.353,1,0.704,0.216,0.103,0.371,0.523,0.495,0.207,-0.044,0.232,0.18,-0.0896,0.375,0.313,0.0,0.508,Industrial Chemistry,FNAS,400,2,GS
3.62,0.708,0.431,0.378,0.285,2,0.613,0.183,0.516,0.783,0.234,0.061,0.066,0.253,0.225,-0.0,-0.028,0.26,0.315,0.016,0.352,Quantity Surveying,FES,200,1,GS
2.83,0.921,0.883,1.0,1.0,0,0.516,0.05,0.643,0.808,0.153,0.305,-0.004,0.282,1.0,0.13,-0.0954,0.73,0.857,0.043,0.285,Accounting,FAMSS,400,1,GS
3.22,0.486,0.609,0.491,0.427,3,0.863,0.33,0.811,0.241,0.372,-0.185,0.02,0.048,0.67,0.57,0.0618,0.085,0.369,0.047,0.662,Quantity Surveying,FES,100,1,GS
3.38,0.794,0.616,0.648,0.424,0,0.438,0.352,0.363,0.528,0.466,0.084,0.16,0.07,0.653,0.01,-0.0144,0.555,0.539,0.06,0.325,Criminology and Security Studies,FAMSS,400,2,GS
3.1,0.406,0.358,0.394,0.258,0,0.49,0.083,0.547,0.123,0.008,-0.212,0.036,0.121,0.601,0.11,-0.0324,0.237,0.021,0.0,0.35,Information Technology,FNAS,400,1,GS
2.87,0.759,0.832,0.668,0.548,0,0.486,0.254,0.426,0.813,0.738,0.06,0.216,-0.007,0.611,0.57,0.031,0.383,0.641,0.064,0.409,Business Administration,FAMSS,100,1,GS
1.92,0.635,0.254,0.244,0.193,2,0.355,0.0,0.468,0.078,0.364,0.233,0.122,-0.263,0.318,0.45,0.0429,0.316,0.426,0.185,0.371,Criminology and Security Studies,FAMSS,200,1,GS
3.16,0.95,0.712,0.976,0.875,1,0.822,0.233,0.0,0.457,0.539,0.079,0.25,0.138,0.632,0.1,-0.0123,0.249,0.672,0.0,0.778,History and International Relations,FAMSS,400,2,GS
2.98,0.383,0.47,0.435,0.347,2,0.529,0.026,0.233,0.237,0.219,0.138,0.217,0.369,0.651,-0.03,-0.0222,0.281,0.134,0.014,0.303,History and International Relations,FAMSS,300,1,GS
1.17,0.425,0.216,0.672,0.5,2,0.254,0.167,0.433,0.092,0.184,-0.104,-0.105,0.003,0.485,-0.28,0.0147,0.16,0.148,0.039,0.316,Estate Management,FES,400,1,NGS
3.1,0.516,0.451,0.442,0.404,3,0.408,0.318,0.196,0.351,0.323,0.031,-0.025,0.054,0.289,0.08,0.0919,0.268,0.089,0.137,0.3,Accounting,FAMSS,100,2,GS
2.35,0.648,0.908,0.676,0.783,2,0.537,0.03,0.298,0.327,0.489,0.106,-0.127,0.105,0.632,-0.08,-0.0554,0.514,0.492,0.037,0.518,Physics and Electronics,FNAS,300,2,GS
3.08,0.456,0.354,0.704,0.283,1,0.405,0.214,0.351,0.175,0.502,-0.094,-0.237,0.064,0.365,0.19,-0.0341,0.267,0.334,0.0,0.541,Doctor of Physiotherapy,FBMS,500,1,GS
1.81,0.431,0.502,0.59,0.435,0,0.257,0.294,0.516,0.428,0.612,0.008,-0.029,0.09,0.334,-0.43,-0.0181,0.397,0.168,0.074,0.239,Economics,FAMSS,100,2,NGS
2.97,0.399,0.428,0.612,0.635,1,0.397,0.44,0.351,0.15,0.621,-0.02,0.165,0.185,0.453,-0.25,0.0591,0.01,0.039,0.0,0.0,Business Administration,FAMSS,400,2,GS
2.78,0.677,0.431,0.737,0.797,1,0.464,0.015,0.615,0.592,0.649,0.058,-0.16,-0.015,0.843,0.34,0.0384,0.585,0.472,0.088,0.324,Mathematics,FNAS,100,1,GS
1.67,0.321,0.184,0.268,0.104,0,0.124,0.375,0.454,0.258,0.264,-0.396,-0.086,-0.137,0.402,0.23,0.0789,0.561,0.159,0.0,0.037,Nursing,FBMS,300,2,NGS
2.52,0.658,0.506,0.445,0.295,0,0.76,0.157,0.0,0.404,0.811,0.202,0.226,-0.202,0.221,0.1,-0.1146,0.465,0.393,0.054,0.757,Criminology and Security Studies,FAMSS,100,1,GS
1.53,0.492,0.613,0.554,0.277,1,0.382,0.373,0.272,0.295,0.0,-0.336,-0.087,-0.217,0.43,-0.26,0.0152,0.34,0.257,0.0,0.223,Quantity Surveying,FES,100,2,NGS
1.37,0.859,0.435,0.527,0.656,1,0.641,0.159,0.129,0.574,0.531,0.254,0.09,0.002,0.329,0.71,0.0784,0.456,0.36,0.097,0.457,Doctor of Physiotherapy,FBMS,200,1,GS
3.63,0.723,0.692,0.584,0.743,0,0.437,0.0,0.335,0.622,0.489,0.469,0.052,-0.343,0.333,0.04,-0.0301,0.584,0.446,0.036,0.365,Information Technology,FNAS,100,1,GS
2.54,0.794,0.813,0.919,1.0,0,0.744,0.012,0.509,0.522,0.329,-0.06,0.118,0.054,0.824,0.36,-0.0557,0.669,0.464,0.116,0.825,Computer Science,FNAS,300,1,GS
1.46,0.875,0.528,0.833,0.513,0,0.663,0.058,0.322,0.212,0.631,0.395,0.091,0.264,0.641,-0.04,-0.0488,0.181,0.54,0.0,0.526,Computer Science,FNAS,200,1,GS
3.88,0.621,0.634,0.777,0.375,2,0.596,0.03,0.479,0.453,0.327,0.114,0.21,-0.175,0.545,0.32,-0.1271,0.163,0.095,0.099,0.559,Computer Engineering,FNAS,100,2,GS
1.42,0.515,0.74,0.401,0.332,1,0.634,0.0,0.0,0.064,0.548,-0.044,0.134,0.099,0.593,-0.5,0.0661,0.268,0.321,0.116,0.548,Business Administration,FAMSS,300,1,NGS
2.9,0.498,0.104,0.518,0.24,0,0.4,0.197,0.453,0.453,0.357,0.021,0.322,-0.046,0.477,-0.23,-0.0278,0.565,0.0,0.0,0.193,Nursing,FBMS,400,1,GS
3.77,0.525,0.727,0.894,0.762,2,0.673,0.104,0.444,0.519,0.61,0.102,-0.093,-0.128,0.712,0.03,-0.0533,0.461,0.442,0.067,0.6,Cybersecurity,FNAS,100,2,GS
2.89,0.413,0.216,0.394,0.301,1,0.416,0.104,0.0,0.397,0.366,0.143,-0.093,-0.02,0.19,0.03,-0.1272,0.364,0.077,0.0,0.385,Mathematics,FNAS,100,2,GS
2.06,0.517,0.548,0.621,0.59,1,0.365,0.377,0.097,0.0,0.484,-0.029,-0.028,-0.063,0.275,0.15,0.0156,0.209,0.386,0.064,0.094,Health Information Management,FBMS,400,1,NGS
3.34,0.577,0.684,0.328,0.228,1,0.728,0.329,0.332,0.454,0.889,0.015,0.198,-0.03,0.45,-0.05,0.0135,0.63,0.41,0.0,0.395,Criminology and Security Studies,FAMSS,100,1,GS
3.4,0.705,0.864,0.879,0.841,0,0.45,0.305,0.244,0.369,0.158,0.128,-0.061,0.159,0.704,-0.02,-0.102,0.542,0.494,0.081,0.326,Economics,FAMSS,400,1,GS
2.29,0.817,0.734,0.815,0.663,1,0.358,0.055,0.531,0.33,0.456,-0.059,0.003,-0.135,0.716,-0.15,0.0512,0.209,0.542,0.132,0.477,Architecture,FES,200,2,GS
4.37,0.482,0.693,0.492,0.495,2,0.566,0.195,0.408,0.625,0.765,-0.355,0.163,0.114,0.829,-0.08,-0.0875,0.774,0.327,0.0,0.505,Economics,FAMSS,200,2,GS
4.15,1.0,1.0,1.0,1.0,1,0.833,0.279,0.3,0.4,0.77,-0.07,0.062,0.023,1.0,0.18,-0.0366,0.314,0.866,0.0,0.631,Estate Management,FES,200,2,GS
1.43,0.522,0.414,0.563,0.642,0,0.484,0.477,0.611,0.0,0.455,0.046,-0.274,-0.216,0.346,-0.45,0.1053,0.226,0.316,0.0,0.143,Physics and Electronics,FNAS,300,1,NGS
0.82,0.46,0.418,0.538,0.341,2,0.384,0.29,0.315,0.449,0.085,-0.267,-0.168,0.027,0.577,0.1,0.1286,0.15,0.158,0.136,0.211,Computer Science,FNAS,400,1,NGS
3.32,0.72,0.519,0.724,0.558,1,0.363,0.531,0.209,0.415,1.0,-0.25,0.175,0.295,0.595,-0.07,0.0396,0.609,0.388,0.0,0.288,Cybersecurity,FNAS,400,2,GS
2.82,0.828,0.917,0.93,0.888,1,0.56,0.284,0.188,0.416,0.562,0.076,-0.177,-0.0,1.0,-0.09,-0.0403,0.402,0.676,0.0,0.467,English and Communication,FAMSS,300,2,GS
2.73,0.316,0.25,0.553,0.277,1,0.887,0.155,0.552,0.619,0.486,0.117,-0.265,0.083,0.479,0.23,-0.0144,0.36,0.0,0.0,0.782,Health Information Management,FBMS,100,1,GS
2.96,0.454,0.631,0.828,0.825,4,0.772,0.058,0.533,0.574,0.742,-0.027,0.056,0.262,0.596,-0.14,0.0157,0.646,0.228,0.018,0.583,Estate Management,FES,100,1,GS
2.7,0.518,0.601,0.601,0.516,0,0.554,0.146,0.051,0.227,0.397,0.038,0.139,0.22,0.271,0.38,-0.0405,0.537,0.395,0.0,0.286,Doctor of Physiotherapy,FBMS,600,2,GS
